MODELNUMBER;ANNEE;article number;active/inactive;picture;Struktur DE;Kategorie DE;Modellname (DE);Text (DE);structure EN;Category EN;model name (EN);text (EN);structure EN-US;Category EN-US;model name (EN-US);text (EN-US);structure ES;Category ES;model name (ES);text (ES);structure FR;Category FR;model name (FR);text (FR);structure IT;Category IT;model name (IT);text (IT);attribut
$M-MC502027;2027;F0001427;Active;pho_bike_90_re_gasgas_motocross_mc50_my27_90_right_wty_final__sall__acmsg__v1.png; > Motorcycle > MC 50 2027 > MC 50 2027;MC 50 2027;MC 50 2027;Die von kleinen Dirt-Shreddern in aller Welt geliebte coole MC 50 hat es in sich Optisch steht sie den gro eren Bikes unserer Motocross-Palette in nichts nach. Als unser kleinster 2-Takter ist sie ergonomisch verstellbar und lasst sich leicht an das Wachstum der Kinder anpassen. Die MC 50 macht den Kids auf jeder Runde so viel Spa und garantiert ein breites Grinsen nach dem Fahren. Mit ihrer erstklassigen Verarbeitungsqualitat und Leistung ist die MC 50 ein Mini-Motocross-Bike fur die nachste Generation von Kurvenraubern, die sich auf die gro en Rennstrecken vorbereiten.; > Motorcycle > MC 50 2027 > MC 50 2027;MC 50 2027;MC 50 2027;Loved by little dirt shredders the world over, our awesome MC 50 certainly packs a punch Looking just like the bigger bikes in our motocross line-up, the smallest 2-stroke we make features adjustable ergonomics that can easily be altered as children grow. Guaranteeing post-ride ear-to-ear grins, the MC 50 makes laps at the track so much fun for kids who just love to ride. Boasting best-in-class build quality with performance to match, the MC 50 is a mini motocrosser designed for the next generation of berm bashers to take on full-size circuits in style; > Motorcycle > MC 50 2027 > MC 50 2027;MC 50 2027;MC 50 2027;Loved by little dirt shredders the world over, our awesome MC 50 certainly packs a punch Looking just like the bigger bikes in our motocross line-up, the smallest 2-stroke we make features adjustable ergonomics that can easily be altered as children grow. Guaranteeing post-ride ear-to-ear grins, the MC 50 makes laps at the track so much fun for kids who just love to ride. Boasting best-in-class build quality with performance to match, the MC 50 is a mini motocrosser designed for the next generation of berm bashers to take on full-size circuits in style; > Motorcycle > MC 50 2027 > MC 50 2027;MC 50 2027;MC 50 2027;Adorada por los pequenos offroaders de todo el mundo, nuestra impresionante MC 50 tiene toda la fuerza imaginable Con el mismo aspecto que las motos mas grandes de nuestra gama de motocross, la 2 tiempos mas pequena que fabricamos cuenta con una ergonomia ajustable facilmente modificable a medida que los ninos crecen. La MC 50, que garantiza sonrisas de oreja a oreja despues de conducir, hace que dar vueltas al circuito sea algo muy divertido para los ninos a los que les encanta pilotar. Con la mejor calidad de fabricacion de su clase y un rendimiento a la altura, la MC 50 es una mini moto de cross disenada para que la proxima generacion de amantes de los circuitos se enfrente a ellos con estilo.; > Motorcycle > MC 50 2027 > MC 50 2027;MC 50 2027;MC 50 2027;"Adulee par les jeunes pilotes du monde entier, notre MC 50 a du punch Portrait crache de ses grandes s urs de la gamme motocross, notre plus petit modele 2 temps est dote d une ergonomie reglable qui peut facilement etre ajustee au fur et a mesure que l enfant grandit. Sourires jusqu aux oreilles garantis apres les tours de piste - la MC 50 fera le bonheur des jeunes pilotes passionnes. Alliant qualite de fabrication et performances exceptionnelles, la MC 50 est une mini-motocross concue pour encourager la prochaine generation de graines de champion a affronter avec style des circuits de taille normale<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-MC652027;2027;F0001627;Active;pho_bike_90_re_gasgas_motocross_mc65_my27_90_right_wty_final__sall__acmsg__v1.png; > Motorcycle > MC 65 2027 > MC 65 2027;MC 65 2027;MC 65 2027;Mit unserer fantastischen MC 65 beginnt die Liebe fur das wahre Motocross-Fahren. Dank ihrem leichtgangigen Schaltgetriebe konnte sie das erste Dirtbike sein, auf dem die Kleinsten lernen, in jeder Situation in den richtigen Gang zu schalten - damit sie auf allen Rennstrecken immer die Schnellsten sind Au erdem ist die MC 65 mit einer Reihe von Bauteilen bestuckt, die sich auch in unseren gro en Motocross-Bikes wiederfinden, naturlich kleiner dimensioniert, damit sie passen. Das beweist, wie wichtig es uns ist, ein wettbewerbsfahiges 65-cm -Motorrad zu schaffen. Wir reden hier von der Hydraulikkupplung, dem roten Bodywork, den MAXXIS-Reifen, dem TWIN AIR-Luftfilter und der WP-Federung. Yeah, wir sind vollkommen begeistert von unserer MC 65 und wissen, dass auch du es sein wirst; > Motorcycle > MC 65 2027 > MC 65 2027;MC 65 2027;MC 65 2027;Our awesome little MC 65 is where riding pure motocross really begins. With its smooth-shifting manual transmission, this might be the first dirt bike on which kids learn how to change gears and, most importantly, when to do so to find the fast way around any circuit. Beyond this, the MC 65 is assembled with plenty of parts that you ll find on our bigger motocross bikes, but obviously scaled down to fit, underlining just how serious we are about making a competitive 65cc machine. We re talking the hydraulic clutch, all-red bodywork, MAXXIS tires, TWIN AIR air filter, and WP suspension. Yeah, we re stoked on our MC 65 and we know you will be too.; > Motorcycle > MC 65 2027 > MC 65 2027;MC 65 2027;MC 65 2027;Our awesome little MC 65 is where riding pure motocross really begins. With its smooth-shifting manual transmission, this might be the first dirt bike on which kids learn how to change gears and, most importantly, when to do so to find the fast way around any circuit. Beyond this, the MC 65 is assembled with plenty of parts that you ll find on our bigger motocross bikes, but obviously scaled down to fit, underlining just how serious we are about making a competitive 65cc machine. We re talking the hydraulic clutch, all-red bodywork, MAXXIS tires, TWIN AIR air filter, and WP suspension. Yeah, we re stoked on our MC 65 and we know you will be too.; > Motorcycle > MC 65 2027 > MC 65 2027;MC 65 2027;MC 65 2027;Nuestra pequena e impresionante MC 65 marca donde realmente empieza el motocross puro. Con su suave cambio de marchas manual, esta puede ser la primera moto offroad con la que los ninos aprendan a cambiar de marcha y, lo que es mas importante, cuando hacerlo para encontrar a trazada mas rapida en cualquier circuito. Mas alla de esto, la MC 65 esta fabricada con un monton de piezas que encontraras en nuestras motos de motocross mas grandes, pero obviamente reducidas para que quepan, lo que subraya lo serios que somos a la hora de fabricar una moto de 65 cc competitiva. Hablamos del embrague hidraulico, la carroceria totalmente roja, los neumaticos MAXXIS, el filtro de aire TWIN AIR y las suspensiones WP. Si, estamos entusiasmados con nuestra MC 65 y sabemos que tu tambien lo estaras.; > Motorcycle > MC 65 2027 > MC 65 2027;MC 65 2027;MC 65 2027;"C est avec notre incroyable petite MC 65 que commence reellement la pratique du motocross pur. Avec sa boite de vitesses manuelle flexible, elle est tout indiquee comme premiere dirt bike sur laquelle les enfants pourront apprendre a changer de vitesse et, plus important encore, a savoir quand changer de vitesse pour filer sur tous les circuits. Au-dela de ca, la MC 65 est dotee de nombreux elements identiques a ceux de nos motocross de taille standard, adaptes bien sur a un gabarit plus petit, soulignant notre volonte de fabriquer une machine de 65 cm competitive. Il s agit de l embrayage hydraulique, de l habillage tout rouge, des pneumatiques MAXXIS, du filtre a air TWIN AIR et des suspensions WP. Eh oui, nous sommes totalement fans de notre MC 65, et il y a fort a parier que tu le deviendras aussi.<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-MC8517142027;2027;F0001827;Active;pho_bike_90_re_gasgas_motocross_mc85_my27_90_right_wty_final__sall__acmsg__v1.png; > Motorcycle > MC 85 17/14 2027 > MC 85 17/14 2027;MC 85 17/14 2027;MC 85 17/14 2027;Zusammen mit unserem globalen Team von talentierten, jungen Fahrern haben wir ein unglaubliches 2-Takt Motocross-Bike entwickelt Vom neuen Rahmen und WP-Federbein bis hin zum verbesserten Motor und der uberarbeiteten Karosserie ist so ziemlich alles neu, was die MC 85 im Jahr 2025 ausmacht. Neben der gesteigerten Leistung wird auch das Fahrgefuhl deutlich verbessert. Die schlankere Ergonomie und die speziell fur jungere Rennfahrer entwickelte Lenkerkrummung schaffen Vertrauen und machen die Runden auf der Rennstrecke viel angenehmer. Das Endergebnis all dieser Anderungen ist ein Motorrad, das fur ein so kleines Motorrad eine unglaubliche Leistung und Fahrbarkeit bietet. Und wenn wir eines garantieren konnen, dann, dass die Kinder es absolut lieben werden; > Motorcycle > MC 85 17/14 2027 > MC 85 17/14 2027;MC 85 17/14 2027;MC 85 17/14 2027;Together with our global team of talented, young test riders, we ve developed what can only be described as an incredible 2-stroke motocross bike From the new frame and WP shock to the improved motor and redesigned bodywork, just about everything is new, making for a seriously fresh MC 85 in 2025. As well as the increased performance, the riding experience is considerably improved too. Slimmer ergonomics and a handlebar bend created specifically for younger racers inspires confidence and makes laps at the track so much more enjoyable. The end result of all the changes is a bike that delivers incredible performance and rideability for such a small motorcycle. And if there s one thing that we can guarantee, it s that kids will absolutely love it; > Motorcycle > MC 85 17/14 2027 > MC 85 17/14 2027;MC 85 17/14 2027;MC 85 17/14 2027;Together with our global team of talented, young test riders, we ve developed what can only be described as an incredible 2-stroke motocross bike From the new frame and WP shock to the improved motor and redesigned bodywork, just about everything is new, making for a seriously fresh MC 85 in 2025. As well as the increased performance, the riding experience is considerably improved too. Slimmer ergonomics and a handlebar bend created specifically for younger racers inspires confidence and makes laps at the track so much more enjoyable. The end result of all the changes is a bike that delivers incredible performance and rideability for such a small motorcycle. And if there s one thing that we can guarantee, it s that kids will absolutely love it; > Motorcycle > MC 85 17/14 2027 > MC 85 17/14 2027;MC 85 17/14 2027;MC 85 17/14 2027;Junto con nuestro equipo mundial de jovenes pilotos de pruebas de gran talento, hemos desarrollado lo que solo puede describirse como una increible moto de motocross de 2 tiempos. Desde el nuevo chasis y el amortiguador WP hasta el motor mejorado y la carroceria redisenada, casi todo es nuevo, lo que la convierte en una MC 85 muy fresca en 2025. Ademas de aumentar las prestaciones, la experiencia de conduccion tambien ha mejorado considerablemente. Una ergonomia mas estilizada y una curvatura del manillar creada especificamente para los corredores mas jovenes inspiran confianza y hacen que las vueltas en la pista sean mucho mas agradables. El resultado final de todos los cambios es una moto que ofrece unas prestaciones y una manejabilidad increibles para una motocicleta tan pequena. Y si hay algo que podemos garantizar, es que a los ninos les encantara.; > Motorcycle > MC 85 17/14 2027 > MC 85 17/14 2027;MC 85 17/14 2027;MC 85 17/14 2027;"Avec notre equipe mondiale de jeunes pilotes d essai talentueux, nous avons mis au point ce qui ne peut etre decrit que comme une incroyable moto-cross a deux temps Du nouveau cadre et de l amortisseur WP au moteur ameliore et a la carrosserie redessinee, a peu pres tout est nouveau, ce qui donne une MC 85 serieusement fraiche en 2025. En plus des performances accrues, l experience de conduite est aussi considerablement amelioree. Une ergonomie plus fine et une courbure du guidon creee specialement pour les jeunes coureurs inspirent confiance et rendent les tours de piste tellement plus agreables. Le resultat final de tous ces changements est une moto qui offre des performances et une maniabilite incroyables pour une si petite moto. Et s il y a une chose que nous pouvons garantir, c est que les enfants vont absolument l adorer<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-MC8519162027;2027;F0001927;Active;pho_bike_90_re_gasgas_motocross_mc85_my27_90_right_wty_final__sall__acmsg__v1.png; > Motorcycle > MC 85 19/16 2027 > MC 85 19/16 2027;MC 85 19/16 2027;MC 85 19/16 2027;Das GASGAS MC 85 ist das ultimative 2-Takt-Motocross-Bike fur junge Fahrer, die bereit sind, aufzusteigen und zu zeigen, was sie drauf haben. Entwickelt mit dem Input von internationalen Fahrern und vollgepackt mit rennsporterprobter Technik, bietet dieses Bike ernsthafte Leistung, vertrauenserweckendes Handling und das Gefuhl eines gro en Bikes in einem verkleinerten Paket. Von seinem leichten Rahmen und der WP Suspension bis hin zu seinem kraftvollen Motor und der auf den Fahrer abgestimmten Ergonomie - der MC 85 wurde entwickelt, um Kindern zu helfen, Fortschritte zu machen, sich zu messen und dabei Spa zu haben.; > Motorcycle > MC 85 19/16 2027 > MC 85 19/16 2027;MC 85 19/16 2027;MC 85 19/16 2027;The GASGAS MC 85 is the ultimate 2-stroke motocross bike for young riders ready to step up and show what they ve got. Developed with input from international test riders and packed with race-proven tech, this bike delivers serious performance, confidence-inspiring handling, and full-size bike vibes in a scaled-down package. From its lightweight frame and WP suspension to its punchy motor and rider-focused ergonomics, the MC 85 is designed to help kids progress, compete, and have a blast doing it.; > Motorcycle > MC 85 19/16 2027 > MC 85 19/16 2027;MC 85 19/16 2027;MC 85 19/16 2027;The GASGAS MC 85 is the ultimate 2-stroke motocross bike for young riders ready to step up and show what they ve got. Developed with input from international test riders and packed with race-proven tech, this bike delivers serious performance, confidence-inspiring handling, and full-size bike vibes in a scaled-down package. From its lightweight frame and WP suspension to its punchy motor and rider-focused ergonomics, the MC 85 is designed to help kids progress, compete, and have a blast doing it.; > Motorcycle > MC 85 19/16 2027 > MC 85 19/16 2027;MC 85 19/16 2027;MC 85 19/16 2027;La GASGAS MC 85 es la moto de motocross de 2 tiempos definitiva para jovenes pilotos dispuestos a dar un paso adelante y demostrar lo que tienen. Desarrollada con las aportaciones de pilotos de pruebas internacionales y repleta de tecnologia probada en competicion, esta moto ofrece un rendimiento serio, un manejo que inspira confianza y las vibraciones de una moto de tamano normal en un paquete reducido. Desde su ligero chasis y suspension WP hasta su potente motor y ergonomia orientada al piloto, la MC 85 esta disenada para ayudar a los ninos a progresar, competir y pasarselo en grande haciendolo.; > Motorcycle > MC 85 19/16 2027 > MC 85 19/16 2027;MC 85 19/16 2027;MC 85 19/16 2027;"La GASGAS MC 85 est la moto-cross a deux temps par excellence pour les jeunes pilotes prets a se lancer et a montrer ce qu ils ont dans le ventre. Developpee avec l aide de pilotes d essai internationaux et dotee d une technologie eprouvee en course, cette moto offre des performances serieuses, une maniabilite qui inspire confiance et des vibrations de moto de taille normale dans un pack reduit. De son cadre leger et de sa suspension WP a son moteur percutant et a son ergonomie axee sur le pilote, le MC 85 est concu pour aider les enfants a progresser, a participer a des competitions et a s amuser.<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-MCE52021;2021;F0001U1;Active;pho_bike_90_re_mc_e5_21_90_re__sall__acmsg__v1.png; > Motorcycle > MC-E 5 2021 > MC-E 5 2021;MC-E 5 2021;MC-E 5 2021;Wir liefern auch Strom Unsere MC-E 5 ist ein unkompliziertes Junioren-Motocross-Bike, das flusterleisen Fahrspa bietet. Mit ihr lernen Youngster spielerisch das Fahren im Gelande und dank 6 verschiedener Fahrmodi konnen Eltern die Power des schnellladenden elektrischen Power-Packs genau anpassen. Damit eines klar ist - Die MC-E 5 ist kein Spielzeug - sie ist ein vollstandig renntaugliches Bike fur Anfanger und erfahrene Junioren-Rennfahrer gleicherma en. Einfach zu transportieren, vollig emissionsfrei und beinahe lautlos, bietet sie einen extrem robusten Rahmen, eine Premium-Federung von WP, ein niedriges Gesamtgewicht, eine einstellbare Sitzhohe und hochwertige Teile, die viele Stunden Fahrspa sicherstellen.; > Motorcycle > MC-E 5 2021 > MC-E 5 2021;MC-E 5 2021;MC-E 5 2021;We do electric too Our MC-E 5 is a no-nonsense junior motocross bike that s super quiet and super fun. Ideal for youngsters to learn on, it s fitted with a quick charging electric power pack and offers 6 different ride modes for complete parental control. But make no mistake about it, the MC-E 5 is no toy - it s a fully-fledged competition bike aimed at both beginners and junior berm bashers. Easy to transport and benefiting from zero emissions and almost zero sound, with its super durable frame, premium WP suspension, overall lightweight construction, adjustable seat height and high-quality parts it s a bike that ll ensure hours and hours of fun.; > Motorcycle > MC-E 5 2021 > MC-E 5 2021;MC-E 5 2021;MC-E 5 2021;We do electric too Our MC-E 5 is a no-nonsense junior motocross bike that s super quiet and super fun. Ideal for youngsters to learn on, it s fitted with a quick charging electric power pack and offers 6 different ride modes for complete parental control. But make no mistake about it, the MC-E 5 is no toy - it s a fully-fledged competition bike aimed at both beginners and junior berm bashers. Easy to transport and benefiting from zero emissions and almost zero sound, with its super durable frame, premium WP suspension, overall lightweight construction, adjustable seat height and high-quality parts it s a bike that ll ensure hours and hours of fun.; > Motorcycle > MC-E 5 2021 > MC-E 5 2021;MC-E 5 2021;MC-E 5 2021;Tambien somos electricos Nuestra MC-E 5 es una locura de moto junior de motocross que es tan silenciosa como divertida. Ideal para que los jovenes aprendan, esta equipada con una bateria power pack de carga rapida y ofrece 6 modos diferentes de pilotaje para un completo control parental. Pero no te equivoques, la MC-E 5 no es un juguete - es una genuina moto de competicion dirigida tanto a los principiantes como a los mas ambiciosos aspirantes a piloto. Facil de transportar y beneficiandose de cero emisiones y casi cero decibelios, con su super duradero chasis, sus suspensiones WP de alta gama , su ligereza general, su altura de asiento ajustable y sus componentes de alta calidad, es una moto que te asegurara horas y horas de diversion.; > Motorcycle > MC-E 5 2021 > MC-E 5 2021;MC-E 5 2021;MC-E 5 2021;"Nous proposons egalement des motorisations electriques Super silencieuse, la GASGAS MC-E 5 est une excellente alternative pour les juniors qui souhaitent apprendre les fondamentaux du motocross tout en s amusant. Elle dispose d une batterie a recharge rapide et permet aux parents de surveiller de pres la progression de leurs enfants grace aux 6 modes de conduite proposes. Mais il ne faut pas s y tromper - la GASGAS MC-E 5 n est pas un jouet - c est un vrai petit bolide de competition destine aussi bien aux debutants qu aux graines de champion. Facile a transporter, la GASGAS MC-E 5 a egalement l avantage de ne produire aucune emission polluante et d emettre pratiquement aucun son. Son cadre ultra-robuste, ses suspensions WP haut de gamme, sa construction legere, sa hauteur de selle reglable et ses composants de haute qualite assurent a votre progeniture des heures de plaisir en selle<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-MC502021;2021;F0001U4;Active;pho_bike_90_re_mc50_21_90_re__sall__acmsg__v1.png; > Motorcycle > MC 50 2021 > MC 50 2021;MC 50 2021;MC 50 2021;<p>Mit der GASGAS MC 50 wird die nachste Generation der MX-Nervenkitzel-Suchenden eingelautet. Die MC 50 ermoglicht jungen Fahrern selbstbewusst ihre ersten Erfahrungen auf der Strecke zu sammeln. Aggressives Design und hochwertige Komponenten spiegeln vor allem den Stil und den Fahrspa der gesamten MX-Reihe wider. Mit einem zuverlassigen Stahlrahmen, WP-Gabeln und dem kleinen 50cm3-Motor bietet die MC 50 das perfekte Sprungbrett in die fantastische Motorradwelt.</p>; > Motorcycle > MC 50 2021 > MC 50 2021;MC 50 2021;MC 50 2021;The GASGAS MC 50 is where the fun starts for the next generation of berm bashers and MX thrill seekers. Allowing youngsters to confidently take their first rides in the dirt, it delivers aggressive design, quality parts and above all else mirrors the style and enjoyment of the entire GASGAS MX range. With its dependable steel chassis, WP forks and revvy little 50cc motor, it s the perfect springboard into the awesome world of moto; > Motorcycle > MC 50 2021 > MC 50 2021;MC 50 2021;MC 50 2021;The GASGAS MC 50 is where the fun starts for the next generation of berm bashers and MX thrill seekers. Allowing youngsters to confidently take their first rides in the dirt, it delivers aggressive design, quality parts and above all else mirrors the style and enjoyment of the entire GASGAS MX range. With its dependable steel chassis, WP forks and revvy little 50cc motor, it s the perfect springboard into the awesome world of moto; > Motorcycle > MC 50 2021 > MC 50 2021;MC 50 2021;MC 50 2021;La GASGAS MC 50 es donde empieza la diversion para la proxima generacion de pilotos offroad y de cazadores de emociones MX. Permitiendo a los jovenes dar sus primeros pasos en el offroad con confianza, ofrece un diseno agresivo, componentes de alta calidad y sobre todo, refleja plenamente el estilo y la diversion de pilotaje de toda la gama GASGAS MX. Con su fiable chasis de acero, una horquilla WP y un revolucionado motor de 50 cc, es el trampolin perfecto para saltar al impresionante mundo de la moto; > Motorcycle > MC 50 2021 > MC 50 2021;MC 50 2021;MC 50 2021;"La GASGAS MC 50 est le modele ideal pour s initier a la pratique du motocross et vivre ses premiers frissons a moto en toute confiance. Son design agressif, ses pieces de qualite, ainsi que son style et son agrement de conduite caracteristiques de la gamme GASGAS MX, feront sensation aupres des jeunes pousses. Avec son chassis en acier tres sur, sa fourche WP et son moteur alerte de 50 cm3, cette mini-moto est parfaite pour faire ses armes dans l univers fabuleux de la moto<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-MC652021;2021;F0001U6;Active;pho_bike_90_re_mc65_21_90_re__sall__acmsg__v1.png; > Motorcycle > MC 65 2021 > MC 65 2021;MC 65 2021;MC 65 2021;Das Auge fahrt mit. So auch bei unserer MC 65. Speziell auf kleinere Fahrer zugeschnitten, sieht sie genauso gut aus wie unsere hubraumstarkeren Motocrosser, wahrend jedes Verkleidungsteil so gestaltet wurde, dass es unsere jungen Fahrer bequem haben und sich frei bewegen konnen.; > Motorcycle > MC 65 2021 > MC 65 2021;MC 65 2021;MC 65 2021;Clutch in, select the gear, revs up, slowly release the clutch... those magical moment when a young motocrosser takes control of a full-on race machine for the first time. Our MC 65 is the perfect bike for any youngster to dive deeper into the world of dirt bikes and fun. With a hydraulic clutch, 6-speed transmission, highly competitive 65cc 2-stroke engine and WP forks it s a true performance offroad bike.; > Motorcycle > MC 65 2021 > MC 65 2021;MC 65 2021;MC 65 2021;Clutch in, select the gear, revs up, slowly release the clutch... those magical moment when a young motocrosser takes control of a full-on race machine for the first time. Our MC 65 is the perfect bike for any youngster to dive deeper into the world of dirt bikes and fun. With a hydraulic clutch, 6-speed transmission, highly competitive 65cc 2-stroke engine and WP forks it s a true performance offroad bike.; > Motorcycle > MC 65 2021 > MC 65 2021;MC 65 2021;MC 65 2021;Aprieta el embrague, selecciona la marcha, acelera, suelta lentamente el embrague... son esos momentos magicos en los que un joven piloto de motocross toma por primera vez el control de una moto de carreras. Nuestra MC 65 es la moto perfecta para que cualquier joven se sumerja en el mundo de las motos de campo y de la diversion. Con un embrague hidraulico, una caja de cambios de 6 velocidades, un motor de 2 tiempos de 65 cc altamente competitivo y una horquilla WP, es una autentica moto offroad de altas prestaciones.; > Motorcycle > MC 65 2021 > MC 65 2021;MC 65 2021;MC 65 2021;"Serrer le levier d embrayage, selectionner une vitesse, accelerer, relacher delicatement l embrayage... ces premiers moment dans la vie d un jeune pilote de motocross resteront graves dans sa memoire. La GASGAS MC 65 s adresse aux jeunes pilotes qui souhaitent franchir un nouveau palier en motocross, tout en preservant l esprit joueur. Avec son embrayage hydraulique, sa boite de vitesse a 6 rapports, son moteur a 2 temps de 65 cm3 ultra-competitif et sa fourche WP, elle est bien placee pour repondre a leurs attentes.<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-MC8519162021;2021;F0001U9;Active;pho_bike_90_re_mc85_21_90_re__sall__acmsg__v1.png; > Motorcycle > MC 85 2021 > MC 85 2021;MC 85 2021;MC 85 2021;Mit einer GASGAS MC 85 bekommen junge Fahrer ein echtes, leistungsstarkes Performance-Bike. Dieses Bike wurde entwickelt, um jungen Talenten die Moglichkeit zu bieten mit einem echten Race-Bike weiter an ihren Fahigkeiten zu feilen. Ein kraftvoller und zuverlassiger Motor, eine WP-Federung und ein Bodywork, welches speziell auf junge Fahrer zugeschnitten wurde, machen die MC 85 zu einem Mini-Racer, der Performance, Haltbarkeit und jede Menge Spa liefert.; > Motorcycle > MC 85 2021 > MC 85 2021;MC 85 2021;MC 85 2021;The GASGAS MC 85 is a non-nonsense performance bike that packs a serious punch. Built to give youngsters an exciting full-on race bike that allows them to continue developing their skills, armed with its powerful and reliable motor, WP suspension and bodywork that s specifically designed to suit younger riders, it s a mini racer that delivers performance and durability and a whole lot of fun.; > Motorcycle > MC 85 2021 > MC 85 2021;MC 85 2021;MC 85 2021;The GASGAS MC 85 is a non-nonsense performance bike that packs a serious punch. Built to give youngsters an exciting full-on race bike that allows them to continue developing their skills, armed with its powerful and reliable motor, WP suspension and bodywork that s specifically designed to suit younger riders, it s a mini racer that delivers performance and durability and a whole lot of fun.; > Motorcycle > MC 85 2021 > MC 85 2021;MC 85 2021;MC 85 2021;La GASGAS MC 85 es una locura de moto de altas prestaciones y con una seria respuesta de motor. Creada para ofrecer a los jovenes una emocionante y completa moto de carreras que les permita seguir desarrollando sus habilidades, armada con su potente y fiable motor, unas suspensiones WP y una carroceria especificamente disenada para adaptarse a los pilotos mas jovenes, es una mini moto de competicion que ofrece prestaciones, durabilidad y mucha diversion.; > Motorcycle > MC 85 2021 > MC 85 2021;MC 85 2021;MC 85 2021;"La GASGAS MC 85 presente toutes les caracteristiques d une mini-moto de course - un moteur fiable et puissant, des suspensions WP, un chassis adapte specialement aux petits gabarits. Extremement grisante a piloter grace a un niveau de performance et de robustesse peu communs, elle est ideale pour perfectionner sa technique avant de passer a l echelon superieur.<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
